Dates,News
24-11-2017,"December gold settles lower, books 1st weekly drop in three weeks"
22-02-2017,Gold up in Asia despite Fed minutes showing rate hike in play
29-06-2018,"bmo : gold likely to average $1,293 an ounce in 2019"
13-08-2018,platinum ends 10-year low as turkey roils; gold sinks to 1 �-year nadir
20-10-2017,"Gold, silver sparkle on Diwali Muhurat trade"
06-04-2017,"June gold up $4.90, or 0.4%, at $1,253.40/oz."
11-10-2017,"Gold settles lower, then recovers some lost ground after Fed minutes"
12-12-2018,gold settles higher as november inflation data meet expectations and the dollar takes a dip
16-08-2017,Gold prices gain more ground in electronic trading after Fed minutes
24-07-2017,"Gold settles with a slight loss, ending its streak of gains"
15-06-2018,"Gold retreats on strong dollar, despite China tariffs"
20-11-2018,Gold edges up as dollar dips on US interest rate uncertainty
17-11-2017,"Get ready for the Fed to trigger the next gold rally, says Jim Rickards"
20-04-2018,china : demand for gold projected to drive up prices from q3
21-09-2017,"kyc cracker scares gold buyers, sales fall 50% since last month"
22-03-2017,"Gold prices notch 5th straight gain, buoyed by a slump in risky assets"
05-01-2018,"australia gold exports fall, spur trade deficit"
26-07-2017,"Fresnillo gold, silver production rises"
29-11-2017,Gold edges up but investors largely unmoved by North Korea test
14-09-2017,"Gold retakes Rs 31,000 level on demand push, soars Rs 650"
20-09-2017,"Dec. gold climbs $5.80, 0.4%, to settle at $1,316.40/oz"
06-08-2018,"russia, kazakhstan, turkey gold purchase climb during first half of 2018"
17-11-2017,Govt floats third series of gold bonds
06-09-2017,seventy-eight billion reasons why bitcoin's the new gold
27-12-2017,"money : from gold, to paper, to bitcoin: progressive guide to de-moneying currency"
28-11-2017,marin katusa : bitcoin is hurting the junior gold market
30-06-2017,Gold pares loss slightly after sentiment reading
07-07-2017,Gold prices dip ahead of US non-farm payrolls data
14-06-2017,Gold books its first gain in 6 sessions as dollar falls
10-07-2018,"gold ends lower, gives back previous day's gains as dollar perks up"
19-10-2017,"Gold futures hold gains after jobless claims, Philly Fed data"
23-08-2017,Gold prices recoup much of the previous day's 0.4% loss
01-11-2017,Barrick Gold downgraded to sector perform from outperform at RBC Capital
19-07-2017,"Gold edges up to Rs 29,110 on firm global cues, spot demand"
01-11-2018,jp morgan to tokenise gold using quorum blockchain
25-01-2017,"Feb. gold loses $13, or 1.1%, to finish at $1,197.80/oz"
13-10-2017,"Dec. gold settles at $1,304.60/oz, up $8.10, or 0.6%"
06-01-2017,"Gold off $3.50, or 0.3%, at $1,177.80/oz. after jobs report"
31-05-2017,"Gold settles higher, then slips in electronic trade after Fed Beige Book"
25-05-2017,"June gold settles at $1,256.40/oz, up $3.30, or 0.3%"
13-03-2018,gold prices may break 2-month range on us inflation data
30-08-2018,charts : gold price reversal gaining legitimacy
21-10-2017,"government fixes sovereign gold bond rate at rs 2,971 per gram"
28-08-2017,gold climbs to 1-week high after yellen's speech
14-11-2017,Gold settles higher as U.S. dollar index falls to a nearly 3-week low
22-10-2018,bofaml recommending gold as safe haven option and value play
11-04-2017,Gold settles at a 5-month high as investors focus on geopolitics
17-01-2018,gold prices ease back a bit from their settlement level after fed beige book
10-03-2017,Gold prices lose about 2% for the week
20-06-2017,"Gold futures fall to Rs 28,515 on weak global cues"
09-11-2018,india : how different forms of gold are taxed
12-09-2017,Gold knocked back to over 1-week low as record-high stocks lure investors
17-03-2017,Gold posts biggest weekly gain since early February
17-05-2017,Gold prices settle at highest level of the month
12-07-2017,Gold tallies a third-consecutive session gain
25-10-2017,"December gold down $5.20, or 0.4%, at $1,273.10 an ounce"
24-10-2017,Gold slips as traders remain wary ahead of Fed chair decision
16-07-2018,inside the bank of england's gold vaults
10-08-2018,Spot gold hovers near 1-year low
18-04-2018,"Akshaya Tritiya 2018: Bullish trend to continue in gold, Rs 33,300 levels look likely on global volatility"
29-08-2017,"gold peaks at 30,000 mark on north korea's missile launch over japan"
17-08-2018,"gold nudges up, but set for biggest weekly fall in 15 months"
02-06-2017,Gold pivots higher after weaker-than-expected jobs report
08-05-2018,"june gold edges up by 40 cents to $1,314.50/oz after $1,306.20 low"
11-07-2018,"gold drops, adds to weekly loss as dollar index gains"
27-01-2017,Gold's 4th-straight drop sends metal down 1.4% for the week
30-04-2018,hellogold : democratising access to gold
04-10-2018,Gold hovers in narrow range as dollar rises on upbeat US data
06-09-2018,gold climbs higher as us dollar eases
05-02-2018,india : the government gets ready to accept gold as an asset class
03-10-2017,"looking to buy gold this diwali? prices may fall towards rs 29,000 in short term"
06-10-2017,gold prices hit fresh 2-month lows as dollar strengthens
05-09-2017,Gold ends near 1-year high on North Korea jitters
23-08-2017,Gold ends higher with dollar nicked by economic agenda uncertainty
08-11-2017,q4 gold imports may fall 25 per cent on weak festival demand
14-11-2017,"December gold off 0.5% at $1,273.10/oz."
27-10-2018,sharps pixley: gold 'a specifically important asset at this time' - murenbeeld
15-03-2017,"April gold at $1,211.30/oz in electronic trade, up from $1,200.70 settlement"
25-10-2017,"gold, silver edge lower in morning trade"
03-01-2017,gold edges up despite firm dollar
05-10-2018,"sharps pixley:  gold battles to hold $1,200"
09-03-2018,India offers gold discounts as price fall propels buying elsewhere
07-04-2017,"Gold rebounds to Rs 29,300 on global cues, spot demand"
18-05-2018,gold prices remain vulnerable as 2018 range snaps
09-08-2017,"Gold prices up $7.80, or 0.6%, to $1,270.40 an ounce"
14-03-2017,Investors withdraw Rs 695 cr from gold ETFs in April-Feb
30-08-2017,gold prices down in asia as regional data supports growth views
03-07-2018,"US dollar, demand weigh on gold prices"
08-07-2018,"Time for gold to bounce back? Accumulate at current levels for short-term target of Rs 31,600-32,500"
17-04-2017,"Gold futures rise to Rs 29,459 on firm global cues"
15-08-2017,Gold suffers largest one-day decline in almost 6 weeks
15-03-2017,why the fed interest-rate hike fueled a rally in gold
17-03-2017,Gold prices score of gain of more than 2% for the week
14-07-2017,"gold marks highest settlement of the month, up 1.5% for the week"
18-07-2017,Gold remains higher after U.S. import price data
08-05-2018,india : gold imports by india plunge for fourth month
02-02-2018,sharps pixley: swiss gold exports in 2017 lower but still 80% plus flowing east
18-04-2017,Gold shakes off losses to finish higher
10-06-2018,"Gold price may hit Rs 34,000 level by Diwali on weak rupee"
06-07-2017,Gold holds gains after ADP report
31-08-2017,"weak global cues, muted demand soften gold prices"
27-02-2017,sovereign gold bonds open; 10 things you must know before investing in them
03-03-2017,Gold ends lower as Yellen says interest-rate hike is likely at next Fed meeting
02-02-2018,"april gold falls $10.60, or 0.8%, to settle at $1,337.30/oz"
29-08-2017,"Dec. gold settles at $1,318.90/oz, up $3.60, or 0.3%"
16-11-2017,Gold notches small gain as U.S. economic data cloud Fed view
24-07-2017,"August gold down 60 cents to settle at $1,254.30/oz"
18-05-2017,Gold snaps 6-session win streak as stocks rebound
18-01-2018,gold treads lower as dollar gains on stronger u.s. data
20-04-2017,"June gold settles at $1,283.80/oz, up 40 cents for the session"
24-05-2017,"June gold falls $2.40, or 0.2%, to settle at $1,253.10/oz ahead of Fed minutes"
30-05-2017,"Gold dips, but copper gains on China PMI figures"
10-12-2018,gold prices turn lower after hitting 5-month highs
21-05-2018,uae gold prices fall this much: time to buy?
01-12-2018,"Gold declines on weak global cues, low demand"
19-01-2017,Gold holds losses after ECB decision
24-03-2017,Gold climbs for second week in a row
26-01-2017,Gold futures mark lowest finish since Jan. 10
01-05-2017,Gold futures mark lowest settlement in three weeks
01-11-2018,india : bis launches gold hallmarking awareness campaign
13-11-2018,"silver 2019 recovery seen on strong tech, beta to gold"
02-10-2018,gold futures mark highest settlement in almost 2 weeks
25-10-2017,"Fresnillo silver, gold production up; backs view"
24-08-2017,"Dec. gold settles at $1,292/oz, down $2.70, or 0.2%"
04-10-2018,gold prices add to slight gain after economic reports
23-03-2017,"Gold prices settle lower, pulling back after a 5-session rise"
20-08-2018,"Global gold-price softening trend to last for months, not years: WGC"
11-05-2017,"June gold up 0.2% at $1,220.80 an ounce"
09-02-2017,"April gold down $2.70, or 0.2%, to settle at $1,236.80/oz"
09-06-2017,Gold suffers first weekly loss in more than a month
25-08-2017,"dec. gold gains $5.90, or 0.5%, to settle at $1,297.90/oz"
06-07-2017,Gold prices tally second session of gains in a row
11-05-2018,mine supply : is the supply of gold depleting?
08-05-2017,"Gold futures rise to Rs 28,212 on firm global cues"
29-03-2018,"june gold down $1.80, or 0.1%, at $1,328.20 an ounce"
26-01-2018,"gold prices fall, but mark a sixth-weekly climb in seven"
08-11-2017,Gold ends at highest in nearly 3 weeks; palladium at 16-year high
19-11-2018,sprott : what 'housing armageddon' means for gold and silver
23-06-2017,Gold prices move higher on softer dollar
11-07-2018,abc bullion : nearly 50% of australians 'never thought' about gold as an investment
10-02-2017,"Gold falls on Trump tax pledge, US rate hike expectations"
08-10-2018,"Gold futures down Rs 216 on profit booking, global cues"
26-03-2018,sec fines kinross gold over fcpa violations
19-04-2017,"Gold logs first loss in 6 sessions, extends decline after Beige Book"
02-07-2018,"td securities : gold may average $1,375 an ounce in q3 2019"
17-10-2017,Gold holds firm decline after industrial production
01-09-2017,Gold jumps after jobs report comes in weaker than expected
24-12-2018,Gold rises as US political uncertainty breeds risk-aversion
25-09-2017,"gold to fall in short term on fears of third us rate hike, but long term story intact"
03-10-2018,it took only 10 minutes to send gold and silver prices soaring
20-06-2017,Gold settles at five-week low as Fed comments feed interest-rate hike expectations
29-06-2017,"August gold down $3.30, or 0.3%, to settle at $1,245.80/oz"
13-11-2017,Eldorado Gold downgraded to neutral from overweight at J.P. Morgan
20-07-2017,"Gold holds on to modest loss after jobless claims, Philly Fed reports"
09-01-2019,Gold up Rs 110 on jewellers' buying
10-05-2017,Gold prices end higher in wake of FBI director's dismissal
06-09-2017,gold options trading to kick off before diwali; technical glitch sorted: mcx
19-09-2017,"December gold trades flat at $1,310.80/oz."
12-10-2018,"gold prices fall for the session, settle higher for a second straight week"
24-08-2018,marex spectron : paper gold not so shiny anymore: prices hit 19-month low as speculators 'give up hope'
12-04-2017,"June gold trades at $1,286.70/oz, up from $1,278.10 settlement"
16-11-2017,why we're buying physical gold with a $1700 target
11-03-2018,Gold bars valued at Rs 4.8 crore seized near India-Myanmar border
09-11-2017,Gold adds to gain after weekly jobless-claims report
28-03-2018,lbma launches rfp on gold bar integrity
19-02-2018,uzbekistan sees rise in gross gold and foreign currency reserves
31-01-2018,why bitcoin may not be digital gold after all
05-07-2017,Gold prices move higher after data showing fall in May U.S. factory orders
01-11-2018,Gold goes up 0.11% on positive global cues
07-09-2018,"dec. gold settles at $1,200.40/oz, down $3.90, or 0.3%, for the session"
31-10-2017,"December gold off 0.4% at $1,273/oz."
12-12-2018,Gold holds firm on hopes of fewer rate hikes
02-11-2018,Gold prices steady; US nonfarm payroll data awaited
30-05-2018,"Gold tops Rs 32,000-mark on jewellers' buying, global cues "
20-09-2017,Gold prices end higher for the first time in four sessions
08-06-2017,Gold holds firm decline following ECB's decision to stand pat on monetary policy
25-06-2018,gold in recovery mode
21-07-2017,"Gold logs highest finish in a month, up over 2% for the week"
02-11-2017,"Gold ends with a minor gain, up four sessions in five"
19-02-2018,Gold Prices Slip Lower on Stronger U.S. Dollar
01-08-2017,gold steady near 7-week highs on struggling dollar
12-10-2017,Gold prices mark highest finish since Sept. 26
09-05-2017,Gold holds near 7-week low as safe-haven demand fades
11-06-2018,"is it 2016 again for u.s. equities, emerging markets and gold?"
10-04-2017,Investors pull out Rs 775 cr from gold ETFs in FY'17
02-02-2017,Gold rises as Fed keeps US interest rates steady
06-07-2017,"August gold settles at $1,223.30/oz, up $1.60, or 0.1%"
06-02-2018,gold investment demand down 23% in 2017: report
21-11-2017,citibank: 'new normal' of geopolitical risk likely to boost gold prices in coming years
06-03-2017,gold futures climb rs 121 as speculators widen position
23-05-2017,Gold tips slightly higher after flash PMI data
20-03-2018,degussa : gold still a good insurance policy as rates rise
04-10-2017,gold prices gain on dollar retreat
27-07-2017,"physical gold demand rises in first half, but market sees surplus: gfms"
19-04-2018,ubs : why gold is more than an insurance asset
17-05-2017,Gold futures trade near session's highs
18-07-2017,"August gold climbs $8.20, or 0.7%, to settle at $1,241.90/oz"
14-09-2017,"Dow futures slip, gold pops as North Korea fires another missile, Japan orders shelter-in-place"
21-11-2017,"turkish lira, bonds crash as 'secret gold trade' trial begins, implicates leaders"
28-07-2017,Gold prices steady ahead of US GDP data
